i,x
0,[1 1 1]
1,[1 1 1]
2,[1 1 1]
3,[1 1 1]
4,[1 1 1]
5,[1 1 1]
6,[1 1 1]
7,[1 1 1]
8,[1 1 1]
9,[1 1 1]
10,[1 1 1]
11,[1 1 1]
12,[1 1 1]
13,[1 1 1]
14,[1 1 1]
15,[1 1 1]
16,[1 1 1]
17,[1 1 1]
18,[1 1 0]
19,[1 1 0]
20,[1 1 0]
21,[1 1 1]
22,[1 1 1]
23,[1 1 1]
24,[1 1 1]
25,[1 1 1]
26,[1 1 1]
27,[1 1 1]
28,[1 1 1]
29,[1 1 1]
30,[1 1 1]
31,[1 1 1]
32,[1 1 1]
33,[1 1 1]
34,[1 1 1]
35,[1 1 1]
36,[1 1 1]
37,[1 1 1]
38,[1 1 1]
39,[1 1 1]
40,[1 1 1]
41,[1 1 1]
42,[1 1 1]
43,[1 1 1]
44,[1 1 1]
45,[1 1 1]
46,[1 1 1]
47,[1 1 0]
48,[1 1 0]
49,[1 1 0]
50,[1 1 0]
51,[1 1 0]
52,[1 1 1]
53,[1 1 1]
54,[1 1 1]
55,[1 1 1]
56,[1 1 1]
57,[1 1 1]
58,[1 0 1]
59,[1 0 1]
60,[1 1 1]
61,[1 1 1]
62,[1 1 1]
63,[1 1 1]
64,[1 1 1]
65,[1 0 1]
66,[1 1 1]
67,[1 1 1]
68,[1 1 1]
69,[1 1 1]
70,[1 1 1]
71,[1 1 1]
72,[1 1 1]
73,[1 1 1]
74,[1 1 1]
75,[1 1 1]
76,[1 1 1]
77,[1 1 1]
78,[1 1 1]
79,[1 1 1]
80,[1 1 1]
81,[1 1 1]
82,[1 1 1]
83,[1 1 1]
84,[1 1 1]
85,[1 1 1]
86,[1 1 1]
87,[1 1 1]
88,[1 1 1]
89,[1 1 1]
90,[1 1 1]
91,[1 1 1]
92,[1 1 1]
93,[1 1 1]
94,[1 1 1]
95,[1 1 1]
96,[1 1 1]
97,[1 1 1]
98,[1 1 1]
99,[1 1 1]
100,[1 1 1]
101,[1 1 1]
102,[1 1 1]
103,[1 1 1]
104,[1 1 1]
105,[1 1 1]
106,[1 1 1]
107,[1 1 1]
108,[1 1 1]
109,[1 1 1]
110,[1 1 0]
111,[1 1 1]
112,[1 1 1]
113,[1 1 1]
114,[1 1 1]
115,[1 1 1]
116,[1 1 1]
117,[1 1 1]
118,[1 1 1]
119,[1 1 1]
120,[1 1 1]
121,[1 1 1]
122,[1 1 0]
123,[0 1 1]
124,[1 1 1]
125,[1 1 1]
126,[1 1 1]
127,[1 1 1]
128,[1 1 1]
129,[1 1 1]
130,[1 1 1]
131,[1 1 1]
132,[0 1 1]
133,[1 1 1]
134,[0 1 1]
135,[1 1 1]
136,[1 1 1]
137,[1 1 1]
138,[1 1 1]
139,[1 1 1]
140,[1 1 1]
141,[1 1 1]
142,[0 1 1]
143,[1 1 1]
144,[1 1 1]
145,[1 1 1]
146,[0 1 0]
147,[1 1 1]
148,[0 1 1]
149,[1 1 1]
150,[1 1 1]
151,[1 1 1]
152,[1 1 1]
153,[0 1 1]
154,[1 1 1]
155,[1 1 1]
156,[0 1 1]
157,[0 1 1]
158,[1 1 1]
159,[1 1 1]
160,[0 1 1]
161,[1 0 1]
162,[1 0 1]
163,[1 1 1]
164,[1 1 1]
165,[1 1 1]
166,[1 1 1]
167,[1 1 1]
168,[0 1 1]
169,[1 1 1]
170,[0 1 1]
171,[1 0 1]
172,[1 1 1]
173,[0 1 1]
174,[1 1 1]
175,[1 1 1]
176,[1 1 1]
177,[1 1 1]
178,[1 0 1]
179,[1 1 1]
180,[1 1 0]
181,[1 1 1]
182,[1 1 1]
183,[1 0 1]
184,[1 1 1]
185,[1 1 0]
186,[1 1 0]
187,[1 1 1]
188,[1 1 1]
189,[1 1 1]
190,[1 1 0]
191,[1 0 1]
192,[1 1 1]
193,[1 1 1]
194,[1 0 1]
195,[1 1 1]
196,[1 1 1]
197,[1 1 0]
198,[1 1 0]
199,[1 1 0]
200,[1 1 0]
201,[1 1 1]
202,[1 0 0]
203,[1 0 0]
204,[1 0 0]
205,[1 1 1]
206,[1 1 1]
207,[1 1 0]
208,[1 1 0]
209,[1 1 1]
210,[1 1 1]
211,[1 1 0]
212,[1 1 0]
213,[1 1 0]
214,[1 1 0]
215,[1 1 1]
216,[1 1 1]
217,[1 1 1]
218,[1 1 1]
219,[1 1 1]
220,[1 1 1]
221,[1 1 1]
222,[1 1 1]
223,[1 1 1]
224,[1 1 1]
225,[1 1 1]
226,[0 1 1]
227,[0 1 1]
228,[1 1 1]
229,[1 1 1]
230,[1 1 0]
231,[0 1 1]
232,[1 1 1]
233,[1 1 1]
234,[1 1 1]
235,[1 1 0]
236,[1 1 0]
237,[1 1 0]
238,[1 1 0]
239,[1 1 0]
240,[1 1 0]
241,[1 1 1]
242,[1 1 0]
243,[1 1 0]
244,[1 1 0]
245,[1 1 0]
246,[1 1 0]
247,[1 1 0]
248,[1 1 0]
249,[1 1 1]
250,[1 1 0]
251,[1 1 0]
252,[0 1 0]
253,[0 1 0]
254,[0 1 0]
255,[1 1 1]
256,[1 1 1]
257,[1 1 0]
258,[1 1 0]
259,[1 1 0]
260,[1 1 1]
261,[1 1 0]
262,[1 1 1]
263,[1 1 0]
264,[1 1 1]
265,[1 1 1]
266,[1 1 1]
267,[1 0 1]
268,[1 0 1]
269,[1 1 1]
270,[0 1 1]
271,[0 1 1]
272,[1 1 1]
273,[1 1 1]
274,[1 1 1]
275,[1 1 1]
276,[1 1 0]
277,[1 1 0]
278,[1 1 0]
279,[1 1 0]
280,[1 1 0]
281,[1 1 1]
282,[0 1 1]
283,[1 1 1]
284,[1 1 1]
285,[1 0 1]
286,[0 1 1]
287,[1 1 1]
288,[1 1 1]
289,[1 1 1]
290,[0 1 1]
291,[1 1 1]
292,[1 0 1]
293,[1 1 1]
294,[1 1 1]
295,[1 1 1]
296,[1 1 1]
297,[0 1 1]
298,[1 1 1]
299,[1 1 0]
300,[1 0 1]
301,[1 0 1]
302,[1 1 0]
303,[1 1 1]
304,[0 1 1]
305,[1 1 1]
306,[0 0 1]
307,[1 1 0]
308,[1 1 1]
309,[1 1 1]
310,[1 1 1]
311,[1 1 1]
312,[1 1 1]
313,[1 1 1]
314,[1 1 1]
315,[1 0 1]
316,[1 1 1]
317,[1 1 1]
318,[1 1 1]
319,[1 1 1]
320,[1 0 1]
321,[0 1 1]
322,[0 0 1]
323,[1 1 1]
324,[0 1 1]
325,[0 1 0]
326,[1 1 1]
327,[1 1 1]
328,[0 1 1]
329,[0 1 1]
330,[1 1 1]
331,[1 1 1]
332,[1 1 1]
333,[1 1 1]
334,[1 0 1]
335,[1 1 1]
336,[1 1 1]
337,[1 1 1]
338,[1 1 0]
339,[1 1 0]
340,[1 1 0]
341,[0 1 1]
342,[1 1 0]
343,[1 1 0]
344,[1 1 1]
345,[1 1 1]
346,[0 0 1]
347,[0 0 1]
348,[0 1 1]
349,[0 0 1]
350,[1 1 1]
351,[0 1 0]
352,[1 1 1]
353,[1 1 0]
354,[0 1 1]
355,[1 0 1]
356,[0 1 1]
357,[1 1 1]
358,[1 1 1]
359,[0 1 0]
360,[0 1 0]
361,[0 1 0]
362,[0 1 0]
363,[0 1 0]
364,[1 1 1]
365,[1 1 0]
366,[1 1 1]
367,[1 1 1]
368,[0 1 1]
369,[1 1 1]
370,[1 1 0]
371,[1 0 1]
372,[0 1 1]
373,[1 1 1]
374,[1 1 1]
375,[1 1 1]
376,[1 0 1]
377,[1 1 1]
378,[1 1 0]
379,[1 1 0]
380,[1 1 0]
381,[1 1 0]
382,[1 1 0]
383,[1 0 1]
384,[1 0 1]
385,[1 1 1]
386,[1 1 1]
387,[1 1 1]
388,[1 1 1]
389,[1 1 1]
390,[1 1 1]
391,[1 1 1]
392,[1 1 1]
393,[1 1 1]
394,[1 0 1]
395,[0 1 0]
396,[0 1 0]
397,[0 1 0]
398,[1 1 1]
399,[1 1 1]
400,[1 1 1]
401,[0 1 1]
402,[1 1 1]
403,[1 1 1]
404,[1 1 1]
405,[0 0 1]
406,[1 1 1]
407,[1 1 1]
408,[1 1 0]
409,[1 1 0]
410,[1 1 1]
411,[1 1 1]
412,[0 0 1]
413,[0 0 1]
414,[0 0 1]
415,[1 1 1]
416,[1 1 1]
417,[1 0 1]
418,[1 1 1]
419,[1 1 1]
420,[1 1 0]
421,[1 1 0]
422,[1 1 0]
423,[1 0 0]
424,[1 0 0]
425,[1 1 0]
426,[1 1 1]
427,[1 1 1]
428,[1 1 1]
429,[1 1 1]
430,[1 0 1]
431,[1 1 1]
432,[1 1 1]
433,[1 1 1]
434,[1 1 1]
435,[1 0 1]
436,[1 1 1]
437,[1 1 1]
438,[1 1 1]
439,[1 0 1]
440,[1 1 1]
441,[1 1 1]
442,[1 1 1]
443,[1 0 1]
444,[1 0 1]
445,[1 1 0]
446,[1 0 1]
447,[1 1 1]
448,[1 1 1]
449,[1 1 1]
450,[1 1 1]
451,[1 1 1]
452,[0 0 1]
453,[1 1 1]
454,[1 1 1]
455,[1 1 1]
456,[1 0 1]
457,[1 1 1]
458,[1 1 1]
459,[1 1 1]
460,[1 1 1]
461,[1 1 1]
462,[1 1 1]
463,[0 1 1]
464,[1 1 1]
465,[1 1 1]
466,[1 0 1]
467,[1 1 1]
468,[1 0 1]
469,[1 1 1]
470,[1 1 1]
471,[1 1 0]
472,[1 1 0]
473,[1 1 0]
474,[1 0 1]
475,[1 1 1]
476,[1 1 1]
477,[1 1 1]
478,[1 1 0]
479,[1 1 0]
480,[1 1 0]
481,[1 1 1]
482,[1 1 1]
483,[1 1 1]
484,[1 1 1]
485,[1 1 1]
486,[1 1 1]
487,[1 0 0]
488,[1 0 0]
489,[1 0 0]
490,[1 0 0]
491,[1 1 1]
492,[1 0 1]
493,[1 1 0]
494,[0 0 0]
495,[0 0 0]
496,[0 1 1]
497,[0 1 1]
498,[1 1 1]
499,[1 1 1]
500,[1 1 1]
501,[1 1 1]
502,[1 1 1]
503,[1 0 1]
504,[1 1 1]
505,[0 1 1]
506,[0 1 0]
507,[1 1 1]
508,[1 1 1]
509,[1 1 1]
510,[1 1 1]
511,[1 1 1]
512,[1 1 1]
513,[1 0 1]
514,[1 1 1]
515,[0 1 1]
516,[1 1 1]
517,[0 0 1]
518,[0 0 1]
519,[0 1 1]
520,[1 1 1]
521,[1 0 1]
522,[0 0 1]
523,[0 1 1]
524,[1 1 1]
525,[1 1 1]
526,[1 1 1]
527,[0 0 1]
528,[1 1 1]
529,[1 1 1]
530,[1 1 1]
531,[0 0 1]
532,[1 1 1]
533,[1 1 1]
534,[1 1 1]
535,[1 0 1]
536,[0 1 1]
537,[0 1 1]
538,[1 1 1]
539,[1 0 1]
540,[1 1 1]
541,[1 1 0]
542,[1 1 0]
543,[1 1 0]
544,[1 1 0]
545,[1 1 1]
546,[1 1 1]
547,[1 1 1]
548,[1 1 1]
549,[1 1 1]
550,[1 0 1]
551,[0 0 1]
552,[0 1 1]
553,[1 1 1]
554,[0 1 1]
555,[0 1 1]
556,[0 1 1]
557,[1 0 1]
558,[1 1 1]
559,[0 0 1]
560,[1 1 1]
561,[1 1 1]
562,[1 1 1]
563,[0 1 1]
564,[1 0 0]
565,[0 1 1]
566,[1 1 1]
567,[1 1 1]
568,[1 1 1]
569,[1 1 1]
570,[1 0 1]
571,[1 0 1]
572,[1 0 1]
573,[0 1 1]
574,[1 1 1]
575,[1 1 1]
576,[0 1 1]
577,[1 1 1]
578,[1 1 1]
579,[0 1 1]
580,[1 1 1]
581,[0 1 1]
582,[0 1 1]
583,[1 1 1]
584,[0 0 1]
585,[1 1 1]
586,[1 0 1]
587,[1 1 1]
588,[1 1 1]
589,[1 1 1]
590,[0 0 1]
591,[0 0 1]
592,[0 0 1]
593,[1 1 1]
594,[0 1 1]
595,[0 1 1]
596,[1 1 1]
597,[1 1 1]
598,[1 1 1]
599,[1 1 1]
600,[1 0 1]
601,[0 0 1]
602,[1 1 1]
603,[1 1 1]
604,[0 0 1]
605,[0 1 1]
606,[1 1 1]
607,[1 1 1]
608,[1 1 1]
609,[0 1 1]
610,[1 1 1]
611,[1 1 1]
612,[1 1 1]
613,[1 1 1]
614,[1 1 1]
615,[1 1 1]
616,[1 1 1]
617,[1 1 1]
618,[0 1 1]
619,[1 1 1]
620,[1 1 1]
621,[0 1 1]
622,[1 0 1]
623,[0 1 1]
624,[1 1 1]
625,[1 0 1]
626,[0 1 1]
627,[1 1 1]
628,[0 1 1]
629,[1 1 1]
630,[1 1 1]
631,[1 1 1]
632,[1 1 1]
633,[1 1 0]
634,[1 1 0]
635,[1 1 0]
636,[1 1 0]
637,[1 1 0]
638,[0 0 1]
639,[0 0 1]
640,[0 1 1]
641,[1 1 1]
642,[1 1 1]
643,[1 0 1]
644,[1 1 1]
645,[1 0 1]
646,[1 1 1]
647,[1 1 1]
648,[1 1 0]
649,[1 1 1]
650,[1 1 1]
651,[1 0 1]
652,[1 1 1]
653,[1 1 1]
654,[0 1 1]
655,[0 1 1]
656,[1 1 1]
657,[1 1 1]
658,[1 1 1]
659,[1 0 1]
660,[1 0 1]
661,[1 1 1]
662,[1 1 0]
663,[1 1 0]
664,[1 1 1]
665,[1 1 1]
666,[1 1 1]
667,[1 1 1]
668,[1 1 1]
669,[0 1 1]
670,[1 1 1]
671,[1 1 1]
672,[1 1 1]
673,[1 1 1]
674,[0 1 1]
675,[1 0 1]
676,[1 1 1]
677,[1 1 1]
678,[1 1 1]
679,[1 0 1]
680,[1 1 1]
681,[1 1 0]
682,[0 1 1]
683,[1 1 1]
684,[1 1 1]
685,[0 1 1]
686,[0 1 1]
687,[0 1 1]
688,[1 1 1]
689,[1 1 1]
690,[1 1 1]
691,[1 1 1]
692,[1 1 1]
693,[1 1 1]
694,[1 1 1]
695,[0 1 1]
696,[1 1 0]
697,[1 1 1]
698,[0 1 1]
699,[0 1 1]
700,[1 1 0]
701,[1 1 0]
702,[1 1 0]
703,[0 1 1]
704,[1 1 1]
705,[1 1 1]
706,[0 1 1]
707,[1 1 1]
708,[1 1 1]
709,[1 1 1]
710,[1 1 1]
711,[1 1 1]
712,[0 1 1]
713,[1 1 1]
714,[1 1 1]
715,[1 1 1]
716,[1 1 1]
717,[1 1 1]
718,[1 1 1]
719,[0 1 1]
720,[1 1 1]
721,[1 1 1]
722,[1 1 1]
723,[1 1 1]
724,[0 1 0]
725,[0 1 0]
726,[0 1 0]
727,[1 1 1]
728,[1 1 1]
729,[1 1 1]
730,[1 1 1]
731,[1 1 0]
732,[1 1 1]
733,[1 1 1]
