i,x
0,[1 0 0 0 1]
1,[1 0 0 0 1]
2,[1 1 0 1 1]
3,[1 1 0 1 1]
4,[1 1 0 1 1]
5,[1 1 0 1 1]
6,[1 1 1 1 1]
7,[1 1 1 1 1]
8,[1 1 1 1 1]
9,[1 1 1 1 1]
10,[1 1 1 0 1]
11,[1 1 1 0 1]
12,[1 1 1 1 1]
13,[1 1 1 0 1]
14,[1 1 1 0 1]
15,[1 1 1 0 0]
16,[1 1 1 1 1]
17,[1 1 1 1 0]
18,[1 1 1 1 1]
19,[0 1 0 1 1]
20,[1 1 0 0 1]
21,[1 1 0 0 1]
22,[1 1 0 0 1]
23,[1 1 0 0 1]
24,[1 1 0 0 1]
25,[1 1 0 1 1]
26,[1 1 1 1 1]
27,[1 1 1 1 1]
28,[1 1 1 1 1]
29,[1 1 1 1 1]
30,[1 1 1 1 0]
31,[1 0 1 1 1]
32,[1 0 1 1 1]
33,[1 1 0 1 1]
34,[1 1 0 1 1]
35,[1 1 1 0 1]
36,[1 1 1 0 1]
37,[1 1 1 1 1]
38,[1 1 0 1 1]
39,[0 1 0 0 1]
40,[1 1 0 1 1]
41,[1 1 0 0 1]
42,[1 1 1 0 1]
43,[1 1 1 0 1]
44,[1 1 0 0 1]
45,[0 1 0 1 1]
46,[1 1 0 0 1]
47,[1 1 0 0 1]
48,[1 1 0 0 1]
49,[1 1 0 0 1]
50,[1 1 0 0 1]
51,[1 1 0 0 0]
52,[1 1 0 0 1]
53,[0 1 0 0 0]
54,[1 1 0 0 0]
55,[0 1 0 0 1]
56,[0 1 0 0 1]
57,[0 1 0 0 1]
58,[0 1 1 0 0]
59,[1 1 0 0 0]
60,[0 1 1 0 0]
61,[0 0 1 0 1]
62,[0 1 1 0 0]
63,[1 1 1 0 0]
64,[0 1 1 1 0]
65,[0 1 1 1 0]
66,[1 1 0 1 1]
67,[0 1 1 0 1]
68,[1 1 1 0 1]
69,[1 0 1 0 0]
70,[1 0 1 0 0]
71,[1 0 1 0 0]
72,[1 0 1 0 0]
73,[1 0 0 0 1]
74,[1 0 1 0 1]
75,[1 0 1 0 1]
76,[1 0 1 0 1]
77,[1 0 1 0 1]
78,[1 0 1 0 0]
79,[1 0 1 0 0]
80,[1 0 1 1 1]
81,[1 0 1 0 1]
82,[1 0 1 1 1]
83,[0 0 1 1 1]
84,[0 0 0 1 1]
85,[1 0 1 1 1]
86,[1 0 1 1 1]
87,[1 0 0 1 1]
88,[0 0 0 1 1]
89,[0 0 0 1 1]
90,[1 0 1 1 1]
91,[1 0 0 1 1]
92,[1 0 0 1 1]
93,[1 0 1 1 1]
94,[1 0 1 1 1]
95,[1 0 1 1 1]
96,[1 0 1 1 0]
97,[1 0 1 1 0]
98,[1 0 1 1 0]
99,[1 0 1 1 1]
100,[1 0 1 1 1]
101,[1 0 1 1 1]
102,[1 0 1 1 1]
103,[1 0 1 1 1]
104,[1 0 1 1 1]
105,[1 0 1 1 1]
106,[1 0 1 1 1]
107,[1 0 1 1 1]
108,[0 0 0 0 1]
109,[0 0 0 0 1]
110,[1 0 1 1 1]
111,[1 0 1 1 1]
112,[1 0 0 1 1]
113,[0 0 0 1 1]
114,[0 1 1 1 1]
115,[1 0 1 1 1]
116,[0 0 1 1 1]
117,[1 0 0 1 1]
118,[1 1 0 0 1]
119,[1 1 0 0 1]
120,[0 1 0 0 0]
121,[0 1 0 0 0]
122,[0 1 0 0 0]
123,[0 1 0 0 0]
124,[0 1 0 0 0]
125,[0 1 0 0 0]
126,[0 1 0 0 0]
127,[0 1 0 0 0]
128,[0 1 0 0 0]
129,[0 1 0 0 0]
130,[0 1 0 0 0]
131,[0 1 0 0 0]
132,[0 1 0 0 0]
133,[1 0 1 1 1]
134,[0 1 0 1 1]
135,[1 1 1 0 1]
136,[1 0 1 1 0]
137,[0 1 0 0 0]
138,[0 1 0 0 0]
139,[0 1 0 0 0]
140,[1 0 0 0 0]
141,[1 0 0 0 0]
142,[1 0 0 0 0]
143,[1 0 0 0 0]
144,[0 0 0 1 0]
145,[0 0 0 1 0]
146,[1 0 0 1 0]
147,[1 1 0 0 1]
148,[1 0 0 1 0]
149,[1 0 1 1 0]
150,[1 0 1 1 0]
151,[1 0 1 1 0]
152,[1 0 1 1 0]
153,[1 0 0 1 1]
154,[1 0 0 1 1]
155,[1 0 0 1 1]
156,[1 0 0 1 0]
157,[1 0 0 1 0]
158,[1 0 0 1 0]
159,[1 0 0 1 0]
160,[1 0 0 1 0]
161,[1 0 0 1 0]
162,[1 0 1 1 0]
163,[0 0 0 1 1]
164,[1 0 0 0 1]
165,[1 0 0 0 1]
166,[1 0 0 1 1]
167,[1 0 0 1 1]
168,[1 0 0 1 1]
169,[1 0 0 1 0]
170,[1 0 0 1 1]
171,[1 0 0 1 0]
172,[0 0 0 1 0]
